label_name,label_points,label_image,label_instagram
HELDEEP RECORDS,66228 POINTS,https://www.beatstats.com/images/label/small/50474.jpg?version=6210,https://www.instagram.com/HELDEEP RECORDS
TACTICAL RECORDS,65527 POINTS,https://www.beatstats.com/images/label/small/23749.jpg?version=56621,https://www.instagram.com/TACTICAL RECORDS
RCA RECORDS LABEL,64988 POINTS,https://www.beatstats.com/images/label/small/34322.jpg?version=5029,https://www.instagram.com/RCA RECORDS LABEL
THRIVE MUSIC,64988 POINTS,https://www.beatstats.com/images/label/small/75521.jpg?version=46538,https://www.instagram.com/THRIVE MUSIC
KNEE DEEP IN SOUND,62563 POINTS,https://www.beatstats.com/images/label/small/39940.jpg?version=6796,https://www.instagram.com/KNEE DEEP IN SOUND
INSTEREO RECORDINGS,61493 POINTS,https://www.beatstats.com/images/label/small/8016.jpg?version=56295,https://www.instagram.com/INSTEREO RECORDINGS
8BIT,61267 POINTS,https://www.beatstats.com/images/label/small/3248.jpg?version=48980,https://www.instagram.com/8BIT
NERVOUS RECORDS,61065 POINTS,https://www.beatstats.com/images/label/small/2752.jpg?version=24784,https://www.instagram.com/NERVOUS RECORDS
SMASH THE HOUSE,59457 POINTS,https://www.beatstats.com/images/label/small/38367.jpg?version=48027,https://www.instagram.com/SMASH THE HOUSE
ELLUM,59126 POINTS,https://www.beatstats.com/images/label/small/23241.jpg?version=2146,https://www.instagram.com/ELLUM
G*HIGH,56680 POINTS,https://www.beatstats.com/images/label/small/34864.jpg?version=35925,https://www.instagram.com/G*HIGH
THREE SIX ZERO RECORDINGS,56265 POINTS,https://www.beatstats.com/images/label/small/86656.jpg?version=23866,https://www.instagram.com/THREE SIX ZERO RECORDINGS
ANJUNABEATS,55284 POINTS,https://www.beatstats.com/images/label/small/804.jpg?version=46892,https://www.instagram.com/ANJUNABEATS
MOTHER RECORDINGS,53824 POINTS,https://www.beatstats.com/images/label/small/24958.jpg?version=44896,https://www.instagram.com/MOTHER RECORDINGS
NEXT-GEN-RECORDS,53172 POINTS,https://www.beatstats.com/images/label/small/67960.jpg?version=13527,https://www.instagram.com/NEXT-GEN-RECORDS
WARNER RECORDS,52813 POINTS,https://www.beatstats.com/images/label/small/78825.jpg?version=7017,https://www.instagram.com/WARNER RECORDS
EMBASSY ONE,52738 POINTS,https://www.beatstats.com/images/label/small/1022.jpg?version=9856,https://www.instagram.com/EMBASSY ONE
WATERGATE RECORDS,52666 POINTS,https://www.beatstats.com/images/label/small/13164.jpg?version=3002,https://www.instagram.com/WATERGATE RECORDS
MOON HARBOUR RECORDINGS,52206 POINTS,https://www.beatstats.com/images/label/small/813.jpg?version=35555,https://www.instagram.com/MOON HARBOUR RECORDINGS
PAWZ,51478 POINTS,https://www.beatstats.com/images/label/small/65335.jpg?version=28377,https://www.instagram.com/PAWZ
